2022-01-18 11:29:14,632 INFO    MainThread:167827 [wandb_setup.py:_flush():71] setting env: {}
2022-01-18 11:29:14,633 INFO    MainThread:167827 [wandb_setup.py:_flush():71] setting login settings: {}
2022-01-18 11:29:14,633 INFO    MainThread:167827 [wandb_setup.py:_flush():71] setting login settings: {}
2022-01-18 11:29:14,633 INFO    MainThread:167827 [wandb_init.py:_log_setup():371] Logging user logs to /home/tbertrand/Bureau/ULM_4channel_pull/wandb/run-20220118_112914-ognj521n/logs/debug.log
2022-01-18 11:29:14,633 INFO    MainThread:167827 [wandb_init.py:_log_setup():372] Logging internal logs to /home/tbertrand/Bureau/ULM_4channel_pull/wandb/run-20220118_112914-ognj521n/logs/debug-internal.log
2022-01-18 11:29:14,634 INFO    MainThread:167827 [wandb_init.py:init():404] calling init triggers
2022-01-18 11:29:14,634 INFO    MainThread:167827 [wandb_init.py:init():409] wandb.init called with sweep_config: {}
config: {}
2022-01-18 11:29:14,634 INFO    MainThread:167827 [wandb_init.py:init():460] starting backend
2022-01-18 11:29:14,634 INFO    MainThread:167827 [backend.py:_multiprocessing_setup():99] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-01-18 11:29:14,648 INFO    MainThread:167827 [backend.py:ensure_launched():216] starting backend process...
2022-01-18 11:29:14,653 INFO    MainThread:167827 [backend.py:ensure_launched():221] started backend process with pid: 167882
2022-01-18 11:29:14,653 INFO    MainThread:167827 [wandb_init.py:init():469] backend started and connected
2022-01-18 11:29:14,656 INFO    MainThread:167827 [wandb_init.py:init():533] updated telemetry
2022-01-18 11:29:14,664 INFO    MainThread:167827 [wandb_init.py:init():563] communicating current version
2022-01-18 11:29:15,010 INFO    MainThread:167827 [wandb_init.py:init():568] got version response 
2022-01-18 11:29:15,010 INFO    MainThread:167827 [wandb_init.py:init():578] communicating run to backend with 30 second timeout
2022-01-18 11:29:15,196 INFO    MainThread:167827 [wandb_init.py:init():606] starting run threads in backend
2022-01-18 11:29:15,268 INFO    MainThread:167827 [wandb_run.py:_console_start():1810] atexit reg
2022-01-18 11:29:15,268 INFO    MainThread:167827 [wandb_run.py:_redirect():1684] redirect: SettingsConsole.REDIRECT
2022-01-18 11:29:15,268 INFO    MainThread:167827 [wandb_run.py:_redirect():1689] Redirecting console.
2022-01-18 11:29:15,269 INFO    MainThread:167827 [wandb_run.py:_redirect():1745] Redirects installed.
2022-01-18 11:29:15,269 INFO    MainThread:167827 [wandb_init.py:init():633] run started, returning control to user process
2022-01-18 11:29:17,553 INFO    MainThread:167827 [wandb_run.py:_config_callback():956] config_cb None None {'_wandb': {'mask/class_labels': {'predictions_wandb_delimeter_prediction': {'type': 'mask/class_labels', 'key': 'predictions_wandb_delimeter_prediction', 'value': {0: 'class_0'}}}}}
2022-01-18 11:29:17,553 INFO    MainThread:167827 [wandb_run.py:_config_callback():956] config_cb None None {'_wandb': {'mask/class_labels': {'predictions_wandb_delimeter_prediction': {'type': 'mask/class_labels', 'key': 'predictions_wandb_delimeter_prediction', 'value': {0: 'class_0'}}, 'predictions_wandb_delimeter_ground truth': {'type': 'mask/class_labels', 'key': 'predictions_wandb_delimeter_ground truth', 'value': {0: 'class_0', 1: 'class_1'}}}}}
2022-01-18 11:29:17,554 INFO    MainThread:167827 [wandb_run.py:_config_callback():956] config_cb None None {'_wandb': {'mask/class_labels': {'predictions_wandb_delimeter_prediction': {'type': 'mask/class_labels', 'key': 'predictions_wandb_delimeter_prediction', 'value': {0: 'class_0'}}, 'predictions_wandb_delimeter_ground truth': {'type': 'mask/class_labels', 'key': 'predictions_wandb_delimeter_ground truth', 'value': {0: 'class_0', 1: 'class_1'}}}}}
2022-01-18 11:29:17,554 INFO    MainThread:167827 [wandb_run.py:_config_callback():956] config_cb None None {'_wandb': {'mask/class_labels': {'predictions_wandb_delimeter_prediction': {'type': 'mask/class_labels', 'key': 'predictions_wandb_delimeter_prediction', 'value': {0: 'class_0'}}, 'predictions_wandb_delimeter_ground truth': {'type': 'mask/class_labels', 'key': 'predictions_wandb_delimeter_ground truth', 'value': {0: 'class_0', 1: 'class_1'}}}}}
2022-01-18 11:29:17,554 INFO    MainThread:167827 [wandb_run.py:_config_callback():956] config_cb None None {'_wandb': {'mask/class_labels': {'predictions_wandb_delimeter_prediction': {'type': 'mask/class_labels', 'key': 'predictions_wandb_delimeter_prediction', 'value': {0: 'class_0'}}, 'predictions_wandb_delimeter_ground truth': {'type': 'mask/class_labels', 'key': 'predictions_wandb_delimeter_ground truth', 'value': {0: 'class_0', 1: 'class_1'}}}}}
2022-01-18 11:29:17,555 INFO    MainThread:167827 [wandb_run.py:_config_callback():956] config_cb None None {'_wandb': {'mask/class_labels': {'predictions_wandb_delimeter_prediction': {'type': 'mask/class_labels', 'key': 'predictions_wandb_delimeter_prediction', 'value': {0: 'class_0'}}, 'predictions_wandb_delimeter_ground truth': {'type': 'mask/class_labels', 'key': 'predictions_wandb_delimeter_ground truth', 'value': {0: 'class_0', 1: 'class_1'}}}}}
2022-01-18 11:29:17,555 INFO    MainThread:167827 [wandb_run.py:_config_callback():956] config_cb None None {'_wandb': {'mask/class_labels': {'predictions_wandb_delimeter_prediction': {'type': 'mask/class_labels', 'key': 'predictions_wandb_delimeter_prediction', 'value': {0: 'class_0'}}, 'predictions_wandb_delimeter_ground truth': {'type': 'mask/class_labels', 'key': 'predictions_wandb_delimeter_ground truth', 'value': {0: 'class_0', 1: 'class_1'}}}}}
2022-01-18 11:29:17,555 INFO    MainThread:167827 [wandb_run.py:_config_callback():956] config_cb None None {'_wandb': {'mask/class_labels': {'predictions_wandb_delimeter_prediction': {'type': 'mask/class_labels', 'key': 'predictions_wandb_delimeter_prediction', 'value': {0: 'class_0'}}, 'predictions_wandb_delimeter_ground truth': {'type': 'mask/class_labels', 'key': 'predictions_wandb_delimeter_ground truth', 'value': {0: 'class_0', 1: 'class_1'}}}}}
